material,method,run,hf_budget,hv
LCE,MF-SAEA,6,60,0.7462794214519733
LCE,MF-SAEA,6,70,0.75647252686114
LCE,MF-SAEA,6,80,0.7695099514339347
LCE,MF-SAEA,6,90,0.7716548584634598
LCE,MF-SAEA,6,100,0.7904065782202517
LCE,MF-SAEA,6,110,0.7904065782202517
LCE,MF-SAEA,6,120,0.7904065782202517
LCE,MF-SAEA,7,20,0.5877611643504772
LCE,MF-SAEA,7,30,0.6548293638247932
LCE,MF-SAEA,7,40,0.7010504704779666
LCE,MF-SAEA,7,50,0.738625316984193
LCE,MF-SAEA,7,60,0.7546299426999181
LCE,MF-SAEA,7,70,0.7610147398061132
LCE,MF-SAEA,7,80,0.7841624389859997
LCE,MF-SAEA,7,90,0.7873461576777344
LCE,MF-SAEA,7,100,0.7873461576777344
LCE,MF-SAEA,7,110,0.8008362505920364
LCE,MF-SAEA,7,120,0.8008362505920364
LCE,MF-SAEA,8,20,0.5953636185424277
LCE,MF-SAEA,8,30,0.6576768259330044
LCE,MF-SAEA,8,40,0.6977124022814362
LCE,MF-SAEA,8,50,0.7355666330248776
LCE,MF-SAEA,8,60,0.7588692317272049
LCE,MF-SAEA,8,70,0.7703175395184951
LCE,MF-SAEA,8,80,0.7912265983751164
LCE,MF-SAEA,8,90,0.7990923101583797
LCE,MF-SAEA,8,100,0.7990923101583797
LCE,MF-SAEA,8,110,0.8001006032162402
LCE,MF-SAEA,8,120,0.8068694823970802
LCE,MF-SAEA,9,20,0.5902544161762515
LCE,MF-SAEA,9,30,0.6674592328875094
LCE,MF-SAEA,9,40,0.7062670231640223
LCE,MF-SAEA,9,50,0.7440837566184179
LCE,MF-SAEA,9,60,0.7692601312527907
LCE,MF-SAEA,9,70,0.7817844799107604
LCE,MF-SAEA,9,80,0.8027643731336496
LCE,MF-SAEA,9,90,0.805390908658848
LCE,MF-SAEA,9,100,0.805390908658848
LCE,MF-SAEA,9,110,0.8115219890800719
LCE,MF-SAEA,9,120,0.8182233265650389
LCE,MF-SAEA,10,20,0.5925230956338451
LCE,MF-SAEA,10,30,0.6612804773950003
LCE,MF-SAEA,10,40,0.6974534927882453
LCE,MF-SAEA,10,50,0.7383724924070655
